Medicine Name,Abdomen,Abdomen and Stool,Alimentary Canal,Antidotes,Aur mur kali,Back,Back and Extremities,Back and extremities,Bones,Bowels,Calc mur,Cardio-Vascular,Caution,Chest,Circulatory Organs,Compare: Aqua calcar,"Compare: Black Gunpowder 3x (Abscesses, boils, carbuncles, limb purple. Wounds that refuse to heal; accident from bad food or water","Compare: Calcar hypophosphorosa (is to be preferred when it seems necessary to furnish the organism with liberal doses of phosphorus in consequence of continued abscesses having reduced the vitality. Give first and second decimal trits. Loss of appetite, rapid debility, night sweats; Acne pustulosa",Compare: Electricitas,"Compare: Iris florentina-Orris-root--(delirium, convulsions, and paralysis); Iris factissima (headache and hernia); Iris germanica-Blue Garden Iris--(dropsy and freckles); Iris tenax-I. minor--(dry mouth; deathly sensation at point of stomach, pain in ileo-caecal region; appendicitis. Pain from adhesions after). Pancreatinum-a combination of several enzymes--(Indicated in intestinal indigestion; pain an hour or more after eating. Lienteric diarrhoea. Dose",Compare: Pimpinello--(Bibernell),"Compare: Sanguisorba (Venous congestion and passive haemorrhages; varices of lower extremities; dysentery. Long lasting profuse menses with congestion to head and limbs in sensitive, irritable patients. Climacteric haemorrhages. Use 2x attenuation). Sanguisuga","Daffodil bulbs contain an alkaloid the action of which, according to authorities, varies as to whether the alkaloid is extracted from the flowering bulb or from the bulb after flowering. Thus in the former case the alkaloid produces dryness of the mouth, checks cutaneous secretions, dilates the pupil of the eye, quickens the pulse, and slows and weakens the heart contractions. On the other hand, the alkaloid from the bulbs after flowering produces copious salivation, increases cutaneous secretion, contracts the pupil of the eye, produces slight relaxation of the pulse, and slight faintness and nausea",Doses,Ear,Ears,Extremities,Eye,Eyes,Eyes and Ears,Face,Female,Fever,Gastric,Gastro-Intestinal,Gastro-enteric Symptoms,Gastro-intestinal,General Symptoms,Genito-urinary,Head,Head and Stomach,Heart,Hyosc hydrobrom,Kidney,Liver,Magnetis Poli Ambo,Magnetis Polus Arcticus,Magnetis Polus Australis,Male,Mental,Mind,Mind and Head,Modalities,Modality,Mouth,Neck,Neck and Back,Nerves,Nervous,Nervous System,Non-Homeopathic Preparations and Uses,Non-Homeopathic Uses,Non-homeopathic Uses,Nose,Nose and throat,"On inhaling this drug, it rapidly dilates all arterioles an capillaries, producing flushings of face, heat, and throbbing in the head",Opium (crude),Physiologic Dosage,Potassium Permanganate for Morphine Poisoning,Rectum,Rectum and Stool,Respiration,Respiratory,Respiratory Organs,Sexual,Skin,Sleep,Spleen,Stomach,Stomach and Abdomen,Stool,Stool and Anus,Stools,"The remedy for hperchlorhydria. In cases where albuminoid digestion is too rapid and starch digestion is perverted. The gastric symptoms with the most pronounced acidity are well authenticated, and are the guiding symptoms. The acidity of Robinia is accompanied by frontal headache. Intensely acrid eructations. Acrid and greenish vomiting, colic and flatulence, nightly burning pains in stomach and constipation with urgent desire",Throat,Tissues,Tongue,Urinary,Urinary Organs,Urine,Uses,Vitex trifolia
TRINITROTOLUENUM,,,,,,,,,,,,"Palpitation, tachycardia, bradycardia, intermittent pulse.",,,,,,,,,,,,,,,,,,,,,,,"Bitter taste, much thirst, sour regurgitation; dull burning behind the ensiform; nausea, vomiting, constipation followed by diarrhoea with cramps.",,,,,"Depression and headache (frontal). Aversion to company, apathetic and weeps easily. Faintness, dizziness, mental sluggishness; delirium, convulsions, coma. Face very dark.",,,,,,,,,,,,,"Worse, alcohol (falls after one or two drinks of whisky). Tea (marked aversion).",,,,,,,,,,,,,,,,,,,,"Nose dry with stuffed sensation. Sneezing, coryza, burning of trachea, choking weight on chest; dry, convulsive cough, raising mucous plugs.",,,"Hands stained yellow. Dermatitis, nodular erythema, vesicles, itching and burning; puffiness. Tendency to haemorrhage under the skin and from the nose. Tired pain in back of knees.",,,,,,,,,,,,"High colored urine, burning on urination, sudden desire, incontinence and retention.",,,,
TRILLIUM PENDULUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Uterine haemorrhages, with sensation as though hips and back were falling to pieces; better tight bandages. Gushing of bright blood on least movement. Haemorrhage from fibroids (Calc; Nitr ac; Phos; Sulph ac). Prolapse, with great bearing-down. Leucorrhoea copious, yellow, stringy (Hydras; Kali b; Sabin). Metrorrhagia at climacteric. Lochia suddenly becomes sanguinous. Dribbling of urine after labor.",,,,,,,,"Pain in forehead; worse, noise. Confused; eyeballs feel too large. Vision blurred; everything looks bluish. Nose-bleed (Millef; Melilot).",,,,,,,,,,,,,,,Haemorrhage from gums. Bleeding after tooth extraction.,,,,,,,,,,,,,,,"Chronic diarrhoea; discharge bloody. Dysentery,; passage almost pure blood.",,,"Cough, with spitting of blood. Copious, purulent expectoration. Haemoptysis. Aching at end of sternum. Suffocative attack of irregular breathing with sneezing. Shooting pains through chest.",,,,,,Heat and burning stomach rising up in oesophagus. Haematemesis.,,,,,,,,,,,,,
TRIFOLIUM PRATENSE,,,,,,Neck stiff; cramp in sterno-cleido muscles; relieved by heat and irritation.,,,,,,,,,,,,,,,,,,,,,Tingling in palms. Hands and feet cold. Tibial ulcers.,,,,,,,,,,,,,"Confusion and headache on awaking. Dullness in anterior brain. Mental failure, loss of memory.",,,,,,,,,,,,,,,"Increased flow of saliva (Merc; Syphil). Sore throat, with hoarseness.",,,,,,,,,,,,,,,,,,"Coryza like that which precedes hay-fever; thin mucus, with much irritation. Hoarse and choking; chills with cough at night. Cough on coming into the open air. Hay-fever. Spasmodic cough; whooping cough, paroxysms; worse at night.",,,,,,,,,,,,,,,,,,,
TORULA CEREVISIAE,,,,,,,,,,,,,,,,,,,,,,,,,,,"Backache, tired and weak from elbows and knees down. Hands cold like ice and go to sleep easily.",,,,,,,,,,,,,Aching back of head and neck. Headache and sharp pains all over. Worse from constipation. Sneezing and wheezing. Catarrhal discharge from posterior nares. Irritable and nervous.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boils, recurrent. Itching eczema around ankles. Tinea versicolor.",Disturbed with much restlessness.,,"Bad taste. Nausea. Poor digestion. Belching of gas in stomach and abdomen. Soreness all over abdomen. Sense of fullness. Rumbling, pains shift, flatulence. Constipation. Sour, yeasty, moldy odor from discharges.",,,,,,,,,,,,,
TRIBULUS TERRESTRIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TILIA EUROPAEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sensation as of gauze before eyes (Calc; Caust; Nat m). Binocular vision imperfect.,,,"Intense sore feeling about uterus; bearing-down, with hot sweat, but without relief. Much slimy leucorrhoea when walking (Bov; Carb an; Graph). Soreness and redness of external genitals (Thuj; Sulph). Pelvic inflammation, tympanites, abdominal tenderness and hot sweat which does not relieve.",,,,,,,,"Neuralgia (first right, then left side), with veil before eyes. Confusion, with dimness of vision. Much sneezing, with fluent coryza. Bleeding from nose.",,,,,,,,,,,,,"Worse, in afternoon and evening; in warm room, heat of bed. Better, cool room, motion.",,,,,,,,,,,,,,,,,,,,,,,"Urticaria. Violent itching, and burning like fire after scratching. Eruption of small, red itching pimples. Sweat warm and profuse soon after falling asleep. Sweat increases as rheumatic pains increase.",,,,,,,,,,,,,,,,
TONGO-DIPTERIX ODORATA,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tearing pains in hip-joints, femur, and knee, especially left side.",,,,,,,,,,,,,"Tearing pain in supra-orbital nerve, with heat and throbbing pain in head and epiphora. Confused, especially the occiput, with somnolence and a sort of intoxication. Trembling in right upper lid. Coryza; nose stopped, must breathe through mouth.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TITANIUM METALLICUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THYROIDINUM,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rheumative arthritis with tendency to obesity, coldness and cramps of extremities. Peeling of skin of lower limbs. Cold extremities. Aching pains. Å’dema of legs. Trembling of limbs and entire body.",,Progressive diminution of sight with central scotoma (Carbon sulf).,,,,,,,,,,,Feeling of lightness in brain. Persistent frontal headache. Eyeballs prominent. Face flushed; lips burn. Tongue thickly coated. Fullness and heat. Face flushed. Bad taste in mouth.,,"Weak, frequent pulse, with inability to lie down. Tachycardia (Naja). Anxiety about chest, as if constricted. Palpitation from least exertion. Severe heart pain; Ready excitability of heart. Heart's action weak, with numbness of fingers.",,,,,,,,,"Stupor, alternating with restless melancholy. Irritable, worse least opposition; goes into a rage over trifles.",,,,,,,,,,,,,,,,,,,,,,"Dry, painful cough with scanty, difficult expectoration and burning in pharynx.",,,"Psoriasis associated with adiposity (not in developing stage). Skin dry, impoverished. Cold hands and feet. Eczema. Uterine fibroids. Browny swelling. Swelling of glands of stony hardness. Sluggish cases. Jaundice with pruritus. Ichtyosis, lupus. Itching without eruption, worse night.",,,"Desire for sweets and thirst for cold water. Nausea worse riding in car. Flatulence, much flatus in abdomen.",,,,,,"Dry, congested, raw, burning; worse left side.",,,"Increased flow; polyuria; some albumen and sugar. Enuresis in weakly children who are nervous and irritable (1/2 gr night and morning). Urine smells of violets, burning along urethra, increase of uric acid.",,,,
THYMUS SERPYLLUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THYMOLUM,,,,,,"Tired, aching throughout lumbar region. Worse, mental and physical labor.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Profuse, nightly, seminal emissions with lascivious dreams of a perverted character. Priapism. Urinary burning and subsequent dribbling of urine. Polyuria. Urates increased. Phosphates decreased.","Irritable, arbitrary, must have his own way. Craves company. Energy gone.",,,"Thymol. Worse, mental and physical labor.",,,,,,,,,,,,,,,,,,,,,,,,Awakes tired and unrefreshed. Lascivious and fantastic dreams.,,,,,,,,,,,,,,,
THLASPI BURSA PASTORIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Metrorrhagia; too frequent and copious menses. Haemorrhage, with violent uterine colic. Every alternate period very profuse. Leucorrhoea before and after menses; bloody, dark, offensive; stains indelibly. Sore pain in womb on rising. Scarcely recovers from one period before another begins.",,,,,,,,"Eyes and face puffy. Frequent epistaxis. Vertigo; worse, rising. Frontal pain; worse toward evening. Scaly eruption behind ears. Tongue white, coated. Mouth and lips cracked. Sharp pain over right eye drawing eye upwards.",,,,,,,,,Spermatic cord sensitive to concussion of walking or riding.,,,,,,,,,,,,,,,Bleeding in nasal operations. Especially passive haemorrhage.,,,,,,,,,,,,,,,,,,,,,,,,"Frequent desire; urine heavy, phosphatic. Chronic cystitis. Dysuria and spasmodic retention. Haematuria. Accumulation of gravel. Renal colic. Brick-dust sediment. Urethritis; urine runs away in little jets. Often replaces the use of the catheter.",,,,
THIOSINAMINUM,,,,,,,,,,,,,,,,,,,,,,,,,"Arterio-sclerotic vertigo. Tinnitus. Catarrhal deafness with cicatricial thickening. Subacute suppurative otitis media, formation of fibrous bands impeding free movement of the ossicles. Thickened drum. Deafness due to some fibrous change in the nerve.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THUJA OCCIDENTALIS,"Distended; indurations in abdomen. Chronic diarrhoea, worse after breakfast. Discharges forcibly expelled; gurgling sound. Brown spots. Flatulence and distension; protruding here and there. Rumbling and colic. Constipation, with violent rectal pain, causing stool to recede (Sil; Sanic). Piles swollen; pain worse sitting, with stitching, burning pains at the anus. Anus fissured; painful to touch with warts. Movements as of something living (Crocus), without pain.",,,,,,,,,,,,,,,,,,,,,,,,,Chronic otitis; discharge purulent. Creaking when swallowing. Polypi.,"When walking, limbs feel as if made of wood or glass, and would break easily. Tips of fingers swollen, red, feel read. Muscular twitchings, weakness and trembling. Cracking in joints. Pain in heels and tendo-Achilles. Nails brittle. Ingrowing toe nail.",,"Ciliary neuralgia; iritis. Eyelids agglutinated at night; dry, scaly. Styes and tarsal tumors (Staph). Acute and subacute inflammation of sclera. Sclera raised in patches, and looks bluish-red. Large, flat phlyctenules; indolent. Recurring episcleritis. Chronic scleritis.",,,"Vagina very sensitive (Berb; Kreos; Lyssin). Warty excrescences on vulva and perineum. Profuse leucorrhoea; thick, greenish. Severe pain in left ovary and left inguinal region. Menses scanty, retarded. Polypi; fleshy excrescences. Ovaritis; worse left side, at every menstrual period (Lach). Profuse perspiration before menses.","Chill, beginning in thighs. Sweat only on uncovered parts, or all over except head, when sleeping; profuse, sour, smelling like honey. Orgasm of blood in the evening, with throbbing in the blood-vessels.",,,,,,,"Pain as if pierced by a nail (Coff; Ign). Neuralgia from tea (Selen). Left-sided headache. White, scaly dandruff; hair dry and falling out. Greasy skin of face.",,,,,,,,,"Inflammation of prepuce and glans; pain in penis. Balanitis. Gonorrhoeal rheumatism. Gonorrhoea. Chronic induration of testicles. Pain and burning felt near neck of bladder, with frequent and urgent desire to urinate. Prostatic enlargement (Ferr pic; Thiosinaminum; Iod; Sabal).",,"Fixed ideas, as if a strange person were at his side; as if soul and body were separated; as if something alive in abdomen (Croc). Emotional sensitiveness; music causes weeping and trembling.",,"Worse, at night, from heat of bed; at 3 am and 3 pm; from cold, damp air; after breakfast; fat, coffee; vaccination. Better, left side; while drawing up a limb.",,"Tip of tongue very painful. White blisters on side close to root, painfully sore. Teeth decay next to gums; very sensitive; gums retract. Drinks fall audibly into stomach. Ranula; varicose veins on tongue and mouth. Pyorrhea alveolaris.",,,,,,,,,"Chronic catarrh; thick, green mucus; blood and pus. On blowing nose, pain in teeth. Ulceration within the nostrils. Dryness of nasal cavities. Painful pressure at root.",,,,,,,,,"Dry, hacking cough in afternoon, with pain in pit of stomach. Stitches in chest; worse, cold drinks. Asthma in children (Nat sulph). Papilloma of larynx. Chronic laryngitis.",,,"Polypi, tubercles, warts epithelioma, naevi, carbuncles; ulcers, especially in ano-genital region. Freckles and blotches. Perspiration sweetish, and strong. Dry skin, with brown spots. Zona; herpetic eruptions. Tearing pains in glands. Glandular enlargement. Nails crippled; brittle and soft. Eruptions only on covered parts; worse after scratching. Very sensitive to touch. Coldness of one side. Sarcoma; polypi. Brown spots on hands and arms.",Persistent insomnia.,,Complete loss of appetite. Dislike for fresh meat and potatoes. Rancid eructations after fat food. Cutting pain in epigastrium. Cannot eat onions. Flatulence; pain after food; sinking sensation in epigastrium before food; thirst. Tea-drinking dyspepsia.,,,,,,,,,"Urethra swollen inflamed. Urinary stream split and small. Sensation of trickling after urinating. Severe cutting after (Sars). Frequent micturition accompanying pains. Desire sudden and urgent, but cannot be controlled. Paralysis sphincter vesicae.",,,,
THERIDION CURASSAVICUM,,,,,,Sensitiveness between vertebrae; avoids pressure on spine. Stinging pains.,,,,,,,,,,,,,,,,,,,,,,,Luminous vibrations before eyes; sensitive to light. Pressure behind eyeballs. Throbbing over left eye.,,,,,,,,,,,"Pain worse anyone walking over floor. Vertigo, with nausea and vomiting on least motion, particularly when closing eyes.",,,,,,,,,,,Restless; finds pleasure in nothing. Time passes too quickly.,,"Worse, touch; pressure; on shipboard; riding in carriage; closing eyes; jar; noise, coitus; left side.",,,,,,,,,,,"Discharge yellowish, thick, offensive; ozaena (Puls; Thuja).",,,,,,,,,Pain in upper left chest (Myrt; Pix; Anis). Pain in left floating ribs. Cardiac anxiety and pain. Pinching in left pectoral muscle.,,,Stinging thrusts everywhere. Sensitive skin in thighs. Itching sensations.,,,Seasickness. Nausea and vomiting when closing eyes and on motion (Tabac). Stinging pain on left side over anterior aspect of spleen. Burning in liver region.,,,,,,,,,,,,,
THEA CHINENSIS,Borborygmi liability to hernia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soreness and tenderness in ovaries.,,,,,,,,Temporary mental exaltation. Ill-humored. Sick headache radiating from one point. Sleepless and restless. Hallucinations of hearing. Cold damp feeling at back of head.,,"Anxious oppression. Praecordial distress. Palpitation; unable to lie on left side. Fluttering. Pulse rapid, irregular, intermittent.",,,,,,,,,,,"Worse, night, on walking in open air, after meals. Better warmth; warm bath.",,,,,,,,,,,,,,,,,,,,,,,,"Sleepy in daytime; sleepiness at night, with vascular excitement and restlessness, and dry skin. Horrible dreams cause no horror.",,"Sinking sensation at epigastrium. Faint, gone feeling (Sep; Hyd; Oleand). Craves acids. Sudden production of wind in large quantities.",,,,,,,,,,,,,
THALLIUM METALLICUM,,,,,,,,,,,,,,,,,,,,,,,,,,,"Trembling. Paralytic feeling. Lancinating pains, like electric shocks. Very tired. Chronic myelitis. Numbness in fingers and toes, with extension up lower extremities, involving lower abdomen and perineum. Paralysis of lower limbs. Cyanosis of extremities. Formication, beginning in fingers and extending through pelvis, perineum and inner thighs to feet.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEUCRIUM MARUM VERUM,,,,,,,,,,,,,,,,,,,,,,,,,,Hissing and ringing otalgia.,"Affection of finger-tips and joints of toes. Tearing pains in arms and legs. Pain in toe-nails, as if they had grown into flesh.",,Smarting in canthi; lids red and puffy; tarsal tumor (Staph).,,,,,,,,,,,"Excited, tremulous feeling. Frontal pain; worse, stooping. Strengthens brain after delirium tremens.",,,,,,,,,,,,,,,,,,,,,,,,"Catarrhal condition of both anterior and posterior nostrils. Mucous polypus. Chronic catarrh; discharge of large, irregular clinkers. Foul breath. Crawling in nostrils, with lachrymation and sneezing. Coryza, with stoppage of nostrils.",,,,,,"Itching of anus, and constant irritation in the evening in bed. Ascarides, with nightly restlessness. Crawling in rectum after stool.",,,"Dry cough, tickling in trachea; moldy taste in throat when hawking up mucus, expectoration profuse.",,,Itching causes tossing about all night. Very dry skin. Suppurating grooves in the nails.,"Restless, with twitching, choking, and starting up frightened.",,"Vomiting of large quantities of dark-green masses. Constant hiccough, attended with pain in back. Unnatural appetite. Hiccough on eating, after nursing.",,,,,,,,,,,,,
TEREBINTHINIAE OLEUM,"Enormous distention. Diarrhoea; stools watery, greenish, fetid, bloody. Pain before flatus with and relief after stool. Haemorrhage from bowels. Worms; lumbrici. Abdominal dropsy; pelvic peritonitis. Fainting after every stool Entero-colitis, with haemorrhage and ulceration of bowels.",,,,,Burning pain in region of kidneys. Drawing in right kidney extending to hip.,,,,,,,,,,,,,,,,,,,,"Own voice sounds unnatural; humming as of a seashell, talking loudly is painful. Otalgia.",,,Ciliary neuralgia over right eye. Intense pain in eye and side of head. Amblyopia from alcohol.,,,Intense burning in uterine region. Metritis; puerperal peritonitis. Metrorrhagia with burning in uterus.,"Heat, with violent thirst, dry tongue, profuse cold, clammy sweat. Typhoid with tympanites, haemorrhages, stupor, delirium. Prostration.",,,,,,,"Dull pain like from a band around the head (Carb ac). Vertigo, with vanishing of vision. Disturbed sense of equilibrium. Tired and difficult concentration of thoughts. Cold in head with sore nostrils with disposition to bleed.",,"Pulse rapid, small, thready, intermittent.",,,,,,,,,,,,,"Tongue dry, red sore, shining; burning in tip, with prominent papillae (Arg n; Bell; Kali b; Nux m). Breath cold, foul. Choking sensation in throat. Stomatitis. Dentition.",,,,,,,,,,,,,,,,,,Difficult breathing; lungs feel distended; haemoptysis. Bloody expectoration.,,,"Acne. Erythema; itching pustular, vesicular eruption; urticaria. Purpura, ecchymosis, dropsies. Scarlatina. Chilblains; with excessive itching and pulsative pains. Aching soreness of the muscles.",,,Nausea and vomiting; heat in epigastric region.,,,,,,,,,"Strangury, with bloody urine. Scanty, suppressed, odor of violets. Urethritis, with painful erections (Canthar). Inflamed kidneys following any acute disease. Constant tenesmus.",,,,
TELLURIUM METALLICUM,,,,,,"Pain in sacrum.--Pain from last cervical to fifth dorsal vertebra, very sensitive; worse touch (Chin s; Phosph) Sciatica; worse right side, coughing, straining, and at night, with sensitive vertebral column. Contraction of tendons in bends of knees.",,,,,,,,,,,,,,,,,,,,"Eczema behind ear. Catarrh of middle ear, discharge acrid, smells like fish-pickle. Itching, swelling, throbbing in meatus. Deafness.",,,"Lids thickened, inflamed, itching. Pterygium; pustular conjunctivitis. Cataract, following ocular lesions; aids the absorption of infiltrations in iris and choroid.",,,,,,,,,,,"Neglectful and forgetful. Pain in left side of head and in forehead above left eye. Distortion and twitching of left facial muscles; when speaking left angle of mouth drawn upwards and to left. Fear of being touched in sensitive places. Congestion to head and nape of neck, followed by weakness and faintness in stomach. Itching of scalp; red spots.",,,,,,,,,,,,,"Worse, while at rest at night, cold weather, from friction, coughing, laughing, lying on painful side, touch.",,,,,,,,,,,"Coryza, lachrymation and hoarseness; better in open air (Cepa). Obstructed; hawks salty phlegm from posterior nares.",,,,,,Pruritus ani et perinei after every stool.,,,,,,"Itching of hands and feet. Herpetic spots; ringworm (Tuberc). Ring-shape lesions, offensive odors from affected parts. Barber's itch. Stinging in skin. Fetid exhalations (Sulph). Offensive foot-sweat. Eczema, back of ears and occiput. Circular patches of eczema.",,,Craving for apples. Empty and weak feeling. Heartburn.,,,,,,,,,,,,,
TARTARICUM ACIDUM,"Pain around umbilicus and region of loins. Stool color of coffee-grounds (worse at night), with brown and dry tongue, and dark-green vomiting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Excessive thirst, continued vomiting burning in throat and stomach. Dyspepsia with copious secretions of mucus.",,,,,,,,,,,,,
TAXUS BACCATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Supra-orbital and temporal pain on right side, with lachrymation. Pupils dilated. Face puffy and pale.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Large, flat, itching pustules. Badly smelling night-sweats. Podagra. Erysipelas.",,,"Saliva hot, acrid. Nausea. Pain in pit of stomach and region of navel. After eating, cough. Feeling of pins and needles at pit of stomach; of emptiness, must eat frequently (compare the coniferae).",,,,,,,,,,,,,
TARENTULA HISPANICA,,,,,,,,,,,,,,,,,,,,,,,,,,,"Weakness of legs; choreic movements. Numbness of legs. Multiple sclerosis, with trembling. Twitching and jerking. Yawning with uneasiness of legs, must move them constantly. Extraordinary contractions and movements.",,,,,"Vulva dry and hot, with much itching. Profuse menstruation, with frequent erotic spasms. Pruritus vulvae; nymphomania. Dysmenorrhoea, with very sensitive ovaries.",,,,,,,,"Intense pain, as if thousands of needles were pricking into brain. Vertigo. Wants hair brushed or head rubbed.",,"Palpitation; praecordial anguish, sensation as if heart twisted and turned around.",,,,,,,Sexual excitement; lasciviousness reaching almost to insanity; seminal emissions.,,"Sudden alteration of mood. Foxy. Destructive impulses; moral relaxation. Must constantly busy herself or walk. Sensitive to music. Averse to company, but wants some one present. Ungrateful, discontented. Guided by whims.",,"Worse, motion, contract, noise. Better, in open air, music, bright colors, rubbing affected parts. Worse, seeming others in trouble.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TANNICUM ACIDUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARENTULA CUBENSIS,,,,,,Itches across kidney region.,,,,,,,,,,,,,,,,,,,,,"Hands tremble, turgid with blood.",,,,,,,"Stomach feels hard, sore. Loss of appetite, except for breakfast.",,,,,,Dizziness after heat and hot perspiration. Dull ache on top of head. Shooting pain through left eye across frontal region.,,,,,,,,,,,,,"Better, smoking. Worse, night.",,,,,,,,,,,,,,,,,,,,,,,"Red spots and pimples. Feels puffed all over. Carbuncles, burning, stinging pains. Purplish hue. Gangrene. Abscesses, where pain and inflammation predominate. Scirrhus of breasts. ""Senile"" ulcers.",Drowsiness. Sleep restless. Sleep prevented by harsh cough.,,,,,,,,,,,Retention. Cannot hold urine on coughing.,,,,
TARAXACUM OFFICINALE,Liver enlarged and indurated. Sharp stitches in left side. Sensation of bubbles bursting in bowels. Tympanites. Evacuation difficult.,,,,,,,,,,,,,,,,,,,,,,,,,,"Very restless limbs. Neuralgia of knee; better, pressure. Limbs painful to touch.",,,,,,"Chilliness after eating, worse drinking; finger tips cold. Bitter taste. Heat without thirst, in face, in toes. Sweat on falling asleep.",,,,,,,Sensation of great heat on top of head. Sterno-mastoid muscle very painful to touch.,,,,,,,,,,,,,"Worse, resting, lying down, sitting. Better, touch.",,"Mapped tongue. Tongue covered with a white film; feels raw; comes off in patches, leaving red, sensitive spots. Loss of appetite. Bitter taste and eructations. Salivation.",,,,,,,,,,,,,,,,,,,,,Profuse night-sweats.,,,,,,,,,,,,,,,,
TANACETUM VULGARE,Pain in bowels; relieved by stool. Desire for stool immediately after eating. Dysentery.,,,,,,,,,,,,,,,,,,,,,,,,,Roaring and ringing; voice sounds strange; ears seem to close up suddenly.,,,,,,"Dysmenorrhoea, with bearing-down pains, tenderness, drawing in groins. Menses suppressed; later, profuse.",,,,,,,,"Heavy, dull, confused. Headache with least exertion.",,,,,,,,,,"Irritable, sensitive to noise. Mental fatigue, nausea and vertigo, worse in a closed room.",,,,,,,,,,,,,,,,,,,,,,,"Hurried, labored, stertorous respiration. Frothy mucus obstructs the air-passages.",,,,,,,,,,,,,,,,,,,
SYZYGIUM JAMBOLANUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABACUM,Cold. Wants abdomen uncovered. It lessens the nausea and vomiting. Painful distension. Incarcerated hernia.,,,"Vinegar; sour apples. Camphor in the physiological antagonist. Ars (chewing tobacco); Ign; (smoking); Sep (neuralgia and dyspepsia); Lycop (impotency); Nux (bad taste due to tobacco); Calad and Plantag (cause aversion to tobacco); Phosph (tobacco heart, sexual weakness).",,,,,,,,,,,,,,,,,,,,,,,"Legs and hands icy cold; limbs tremble. Paralysis following apoplexy (Plumb). Gait shuffling, unsteady. Feebleness of arms.",,"Dim sight; sees as through a veil; strabismus. Amaurosis; muscae volitantes. Central scotoma. Rapid blindness without lesion, followed by venous hyperaemia and atrophy of optic nerve.",,"Pale, blue, pinched, sunken, collapsed, covered with cold sweat (Ars; Verat). Freckles.",,"Chills, with cold sweat.",,,,,,,"Vertigo on opening eyes; sick headache, with deathly nausea; periodical. Tight feeling as from a band. Sudden pain, as if struck by a hammer. Nervous deafness. Secretion from eyes, nose and mouth increased.",,"Palpitation when lying on left side. Pulse intermits, feeble, imperceptible. Angina pectoris, pain in praecordial region. Pain radiates from center of sternum. Tachycardia. Bradycardia. Acute dilatation caused by shock or violent physical exertion (Royal).",,,,,,,,,Sensation of excessive wretchedness. Very despondent. Forgetful. Discontented.,,"Worse, opening eyes; evening; extremes of heat and cold. Better, uncovering, open fresh air.",,,,,,,,,,,,,,,,,"Constipation; rectum paralyzed, prolapsed. Diarrhoea, sudden, watery, with nausea and vomiting, prostration, and cold sweat; discharges look like sour milk, thick, curdled, watery. Rectal tenesmus.",,,"Difficult, violent constriction of chest. Praecordial oppression, with palpitation and pain between shoulders. Cough followed by hiccough. Cough dry, teasing, must take a swallow of cold water (Caust; Phos). Dyspnoea, with tingling down left arm when lying on left side.",,,,"Insomnia with dilated heart, with cold, clammy skin and anxiety.",,"Incessant nausea; worse, smell of tobacco smoke (Phos); vomiting on least motion, sometimes of fecal matter, during pregnancy with much spitting. Seasickness; terrible faint, sinking feeling at pit of stomach. Sense of relaxation of stomach, with nausea (Ipec). Gastralgia; pain from cardiac end extending to left arm.",,,,,,"Nasopharyngitis and tracheitis, hemming, morning cough, sometimes with vomiting. Hoarseness of public speakers.",,,"Renal colic; violent pain along ureter, left side.",,,,
