Medicine Name,Symptom,Description
SILPHIUM LACINATUM,Dose,Third potency. Lower triturations preferred by some.
SENNA,Stool,"Fluid yellowish, with pinching pains before. Greenish mucus; never-get-done sensation (Merc). Burning in rectum, with strangury of bladder. Constipation, with colic and flatulence. Liver enlarged and tender, stools hard and dark, with loss appetite, coated tongue, bad taste, and weakness."
SENNA,Urine,"Specific gravity and density increased; hyperazoturia, oxaluria, phosphaturia, and acetonuria."
SENNA,Relationship,Compare: Kali carb; Jalapa.
SENNA,Dose,Third to sixth potency.
SEDUM ACRE,Relationship,"Compare: Mucuna urens (haemorrhoidal diathesis and diseases depending thereon); Sedum telephium (uterine haemorrhages, also of bowels and rectum; menorrhagia, especially at climacteric); Sedum repens--S alpestre--(cancer; specific action on abdominal organs; pain, loss of strength)."
SEDUM ACRE,Dose,Tincture to sixth potency.
SENEGA,Mind,Suddenly remembers unimportant regions which he saw long ago. Inclined to quarrel.
SENEGA,Head,"Dullness, with pressure and weakness of eyes. Pain in temples. Bursting pain in forehead."
SENEGA,Eyes,"Hyperphoria, better by bending head backwards. Acts on the rectus superior. Blepharitis; lids dry and crusty (Graph). Dryness, with sensation as if too large for orbits. Starting. Lachrymation. Flickering; must wipe eyes frequently. Objects look shaded. Muscular asthenopia (Caust). Double vision; better only by bending head backward. Opacities of the vitreous humor. Promotes absorption of fragments of lens, after operation."
SENEGA,Nose,Dry. Coryza; much watery mucus and sneezing. Nostrils feel peppery.
SENEGA,Face,Paralysis of left side of face. Heat in face. Burning vesicles in corners of mouth and lips.
SENEGA,Throat,"Catarrhal inflammation of throat and fauces, with scraping hoarseness. Burning and rawness. Sensation as if membrane had been abraded."
SENEGA,Respiratory,"Hoarseness. Hurts to talk. Bursting pain in back on coughing. Catarrh of larynx. Loss of voice. Hacking cough. Thorax feels too narrow. Cough often ends in a sneeze. Rattling in chest (Tart emet). Chest oppressed on ascending. Bronchial catarrh, with sore chest walls; much mucus; sensation of oppression and weight of chest. Difficult raising of tough, profuse mucus, in the aged. Asthenic bronchitis of old people with chronic interstitial nephritis or chronic emphysema. Old asthmatics with congestive attacks. Exudations in Pleura. Hydrothorax (Merc sulph). Pressure on chest as though lungs were forced back to spine. Voice unsteady, vocal cords partially paralyzed."
SENEGA,Urinary,"Greatly diminished; loaded with shreds and mucus; scalding before and after urinating. Back, bursting distending pain in kidney region."
SENEGA,Modalities,"Worse, walking in open air, during rest. Better, from sweat; bending head backwards."
SENEGA,Relationship,Compare: Caust; Phos; Saponin; Ammon; Calc; Nepeta cataria-Catnip (to break up a cold; infantile colic: hysteria).
SENEGA,Dose,"Tincture, to thirtieth potency."
SENECIO AUREUS,Mind,Inability to fix mind upon any one subject. Despondent. Nervous and irritable.
SENECIO AUREUS,Head,"Dull, stupefying headache. Wavelike dizziness from occiput to sinciput. Sharp pains over left eye, and through left temple. Fullness of nasal passages; burning; sneezing; profuse flow."
SENECIO AUREUS,Face,"Teeth very sensitive. Sharp, cutting pain left side. Dryness of fauces, throat, and mouth."
SENECIO AUREUS,Stomach,Sour eructations; nausea.
SENECIO AUREUS,Throat,"Dry mouth, throat, and fauces. Burning in pharynx, raw feeling in naso-pharynx, must swallow, though painful."
SENECIO AUREUS,Abdomen,"Pain around umbilicus; spreads all over abdomen; better, stool. Thin, watery stool, intermingled with hard lumps of feces (Ant crud). Straining at stool; thin, dark, bloody, with tenesmus."
SENECIO AUREUS,Urinary,"Scanty, high-colored, bloody, with much mucus and tenesmus. Great heat and constant urging. Nephritis. Irritable bladder of children, with headache. Renal colic (Pareira; Ocim; Berb)."
SENECIO AUREUS,Male,"Lascivious dreams, with involuntary emissions. Prostate enlarged. Dull, heavy pain in spermatic cord, extending to testicles."
SENECIO AUREUS,Female,"Menses retarded, suppressed. Functional amenorrhoea of young girls with backache. Before menses, inflammatory conditions of throat, chest, and bladder. After menstruation commences, these improve. Anaemic dysmenorrhoea with urinary disturbances. Premature and too profuse menses (Calc; Erig)."
SENECIO AUREUS,Respiratory,"Acute inflammatory conditions of upper respiratory tract. Hoarseness. Cough loose, with labored inspiration. Chest sore and raw. Dyspnoea on ascending (Calc). Dry teasing cough, stitching chest pains."
SENECIO AUREUS,Sleep,"Great drowsiness, with unpleasant dreams. Nervousness and sleeplessness."
SENECIO AUREUS,Relationship,"Compare: Senecio Jacobaea (cerebro-spinal irritation, rigid muscles, chiefly of neck and shoulders; also, in cancer); Aletris; Caulop; Sep."
SENECIO AUREUS,Dose,"Tincture, to third potency. Senecin, first trituration."
SEMPERVIVUM TECTORUM,Mouth,"Malignant ulcers of mouth. Cancer of tongue (Galium). Tongue has ulcers; bleed easily, especially at night; much soreness of tongue with stabbing pains. Whole mouth very tender."
SEMPERVIVUM TECTORUM,Skin,Erysipelatous affections. Warts and corns. Aphthae. Flushed surface and stinging pains.
SEMPERVIVUM TECTORUM,Relationship,"Compare: Sedum acre-small Houseleek--(scorbutic conditions; ulcers, intermittent fever) (Galium; Kali cyanat). Oxalis acetosella-Wood sorrel--(The inspissated juice used as a cautery to remove cancerous growths of the lips). Cotyledon. Ficus Carica--(Fig)-The milky juice of the freshly broken stalk applied to warts; causes their disappearance."
SEMPERVIVUM TECTORUM,Dose,"Tincture and 2 decimal, also fresh juice of plant. Locally for bites of insect, stings of bees, and poisoned wounds, warts."
SECALE CORNUTUM,Head,"Passive, congestive pain (rises from back of head), with pale face. Head drawn back. Falling of hair; dry and gray. Nosebleed, dark, oozing."
SECALE CORNUTUM,Eyes,"Pupils dilated. Incipient cataract, senile especially in women. Eyes sunken and surrounded by a blue margin."
SECALE CORNUTUM,Face,"Pale, pinched, sunken. Cramps commence in face and spread over whole body. Livid spots on face. Spasmodic distortion."
SECALE CORNUTUM,Mouth,"Tongue dry, cracked; blood like ink exudes, coated thick; viscid, yellowish, cold livid. Tingling of tip of tongue, which is stiff. Tongue swollen, paralyzed."
SECALE CORNUTUM,Stomach,"Unnatural ravenous appetite; craves acids. Thirst unquenchable. Singultus, nausea; vomiting of blood and coffee-grounds fluid. Burning in stomach and abdomen; tympanites. Eructations of bad odor."
SECALE CORNUTUM,Stool,"Cholera-like stools, with coldness and cramps. Olivegreen, thin, putrid, bloody, with icy coldness and intolerance of being covered, with great exhaustion. Involuntary stools; no sensation of passing feces, anus wide open."
SECALE CORNUTUM,Urine,"Paralysis of bladder. Retention, with unsuccessful urging. Discharge of black blood from bladder. Enuresis in old people."
SECALE CORNUTUM,Female,"Menstrual colic, with coldness and intolerance of heat. Passive haemorrhages in feeble, cachectic women. Burning pains in uterus. Brownish, offensive leucorrhoea. Menses irregular, copious, dark; continuous oozing of watery blood until next period. Threatened abortion about the third month (Sab). During labor no expulsive action, though everything is relaxed. After-pains. Suppression of milk; breasts do not fill properly. Dark, offensive lochia. Puerperal fever, putrid discharges, tympanitis, coldness, suppressed urine."
SECALE CORNUTUM,Chest,"Angina pectoris. Dyspnoea and oppression, with cramp in diaphragm. Boring pain in chest. Praecordial tenderness. Palpitation, with contracted and intermittent pulse."
SECALE CORNUTUM,Sleep,"Profound and long. Insomnia with restlessness, fever, anxious dreams. Insomnia of drug and liquor habitudes."
SECALE CORNUTUM,Back,"Spinal irritation, tingling of lower extremities; can bear only slightest covering. Locomotor ataxia. Formication and numbness. Myelitis."
SECALE CORNUTUM,Extremities,"Cold, dry hands and feet of excessive smokers with feeling of fuzziness in fingers. Trembling, staggering gait. Formication, pain and spasmodic movements. Numbness. Fingers and feet bluish, shriveled, spread apart or bent backwards, numb. Violent cramps. Icy coldness of extremities. Violent pain in finger-tips, tingling in toes."
SECALE CORNUTUM,Skin,"Shriveled, numb; mottled dusky-blue tinge. Scleraema and oedema neonatorum. Raynaud's disease. Blue color. Dry gangrene, developing slowly. Varicose ulcers. Burning sensation; better by cold; wants parts uncovered, though cold to touch. Formication; petechiae. Slight wounds continue to bleed. Livid spots. Boils, small, painful, with green contents; mature slowly. Skin feels cold to touch, yet covering is not tolerated. Great aversion to heat. Formication under skin."
SECALE CORNUTUM,Fever,"Coldness; cold, dry skin; cold, clammy sweat; excessive thirst. Sense of internal heat."
SECALE CORNUTUM,Modalities,"Worse, heat, warm covering. Better, cold, uncovering, rubbing, stretching out limbs."
SECALE CORNUTUM,Relationship,"Compare: Ergotin (Beginning arteriosclerosis progressing rather rapidly. Increased blood pressure: 2x trit. Å’dema, gangrene and purpura haemorrhagia: when Secale, though indicated, fails); Pedicularis Canadensis (Symptoms of locomotor ataxia; spinal irritation); Brassica napus-Rape-seed--(dropsical swellings, scorbutic mouth, voracious appetite, tympanitis, dropping of nails, gangrene); Cinnamon; Colch; Ars; Aurum mur. 2x (locomotor ataxia); Agrostema-Corn-cockle-active constituent is Saponin, which causes violent sneezing and sharp burning taste; burning in stomach, extends to oesophagus, neck and breast; (vertigo, headache, difficult locomotion, burning sensation); Ustilago; Carbo; Pituitrin (dilated os, little pain, no progress. Dose, 1/2 c, repeat in half hour, if necessary. Hypodermically contra-indicated in first stage of labor, valvular lesions or deformed pelvis)."
SECALE CORNUTUM,Dose,"First to thirtieth potency. Non-homeopathic use. In haemorrhages of the puerperium, after the uterus in entirely emptied, when it fails to contract satisfactorily and in secondary puerperal haemorrhage the result of incomplete involution of the uterus, give one-half to one dram of the fluid extract. Remember Pagot's law. ""As long as the uterus contains, anything, be it child, placenta, membranes, clots, never administer Ergot""."
SELENIUM METALLICUM,Mind,"Lascivious thoughts, with impotency. Mental labor fatigues. Extreme sadness. Abject despair, uncompromising melancholy."
SELENIUM METALLICUM,Head,"Hair falls out. Pain over left eye; worse walking in sun, strong odors and tea. Scalp feels tense. Headache from tea drinking."
SELENIUM METALLICUM,Throat,"Incipient tubercular laryngitis. Hawking and raising transparent lumps of mucus every morning. Hoarseness. Cough in morning, with expectoration of bloody mucus. Hoarseness of singers. Much clear, starchy mucus (Stann)."
SELENIUM METALLICUM,Stomach,"Desire for brandy and other strong drink. Sweetish taste. Hiccough and eructations after smoking. After eating, pulsation all over, especially abdomen."
SELENIUM METALLICUM,Abdomen,"Chronic liver affections; liver painful, enlarged, with fine rash over liver region. Stool constipated, hard and accumulated in rectum."
SELENIUM METALLICUM,Urinary,Sensation in the tip of urethra as if a biting drop were forcing its way out. Involuntary dribbling.
SELENIUM METALLICUM,Male,"Dribbling of semen during sleep. Dribbling of prostatic fluid. Irritability after coitus. Loss of sexual power, with lascivious fancies. Increases desire, decreases ability. Semen thin, odorless. Sexual neurasthenia. On attempting coition, penis relaxes. Hydrocele."
SELENIUM METALLICUM,Skin,"Dry, scaly eruption in palms, with itching, Itching about the ankles and folds of skin, between fingers. Hair falls out from brows, beard, and genitals. Itching about finger-joints and between fingers; in palms. Vesicular eruption between fingers (Rhus; Anac). Seborrhoea oleosa; comedones with an oily surface of the skin; alopecia. Acne."
SELENIUM METALLICUM,Extremities,"Paralytic pains in small of back in the morning. Tearing pain in hands, at night."
SELENIUM METALLICUM,Sleep,"Sleep prevented by pulsation in all vessels, worse abdomen. Sleepless until midnight, awakens early and always same hour."
SELENIUM METALLICUM,Modalities,"Worse, after sleep, in hot weather, from Cinchona, draught of air, coition."
SELENIUM METALLICUM,Relationship,Incompatible: China; Wine.
SELENIUM METALLICUM,Dose,"Sixth to thirtieth potency. Colloidal Selenium injection for inoperable cancer. Pain, sleeplessness, ulceration and discharge are markedly diminished."
SCUTELLARIA LATERIFOLIA,Mental,Fear of some calamity. Inability to fix attention (Aethus). Confusion.
SCUTELLARIA LATERIFOLIA,Head,"Dull, frontal headache. Eyes feel pressed outwards. Flushed face. Restless sleep and frightful dreams. Must move about. Night terrors. Migraine; worse, over right eye; aching in eyeballs. Explosive headaches of school teachers with frequent urination; headaches in front and base of brain. Nervous sick headaches, worse noise, odor light, better night; rest, 5 drops of tincture."
SCUTELLARIA LATERIFOLIA,Stomach,Nausea; sour eructations; hiccough; pain and distress.
SCUTELLARIA LATERIFOLIA,Abdomen,"Gas, fullness and distention, colicky pain and uneasiness. Light colored diarrhoea."
SCUTELLARIA LATERIFOLIA,Male,"Seminal emissions and impotency, with fear of never being better."
SCUTELLARIA LATERIFOLIA,Sleep,Night-terrors; sleeplessness; sudden wakefulness; frightful dreams.
SCUTELLARIA LATERIFOLIA,Extremities,Twitchings of muscles; must be moving. Chorea. Tremors. Sharp stinging pains in upper extremities. Nightly restlessness. Weakness and aching.
SCUTELLARIA LATERIFOLIA,Relationship,Compare: Cyprip; Lycopus.
SCUTELLARIA LATERIFOLIA,Dose,Tincture and lower potencies.
SCROPHULARIA NODOSA,Head,"Vertigo felt in vertex, greater when standing; drowsiness; pain from forehead to back of head. Eczema behind ear. Crusta lactea."
SCROPHULARIA NODOSA,Eyes,Distressing photophobia (Conium). Spots before eyes. Stitches in eyebrow. Sore eyeballs.
SCROPHULARIA NODOSA,Ears,Inflammation about auricle. Deep ulcerated auricle. Eczema around ear.
SCROPHULARIA NODOSA,Abdomen,"Pain in liver on pressure. Colic below navel. Pain in sigmoid flexure and rectum. Painful, bleeding, protruding piles."
SCROPHULARIA NODOSA,Respiratory,"Violent dyspnoea, oppression of chest with trembling. Pain about bifurcation of trachea. Asthma in scrofulous patients."
SCROPHULARIA NODOSA,Skin,"Prickling itching, worse back of hand."
SCROPHULARIA NODOSA,Sleep,Great drowsiness; in morning and before and after meals with weariness.
SCROPHULARIA NODOSA,Modalities,Worse lying on right side.
SCROPHULARIA NODOSA,Dose,Tincture and first potency. Apply locally to cancerous glands also Semper viv.
SAROTHAMNUS SCOPARIUS,Heart,"Tobacco heart. Angina pectoris. Irregular action, disturbed rhythm due to gas, etc, feeble in nervous hysterical patients. Myocardial degeneration, failing compensation. Hypotension. Spartein in 2 gr doses for water-logged cases, cannot lie down. Here it produces much comfort. Has specific action upon the kidneys, enabling them to eliminate and relieve the distress upon the heart."
SAROTHAMNUS SCOPARIUS,Stomach,"Great accumulation of gas in gastro-intestinal canal, with mental depression."
SAROTHAMNUS SCOPARIUS,Urinary,Burning along urinary tract or in pudendum. Profuse flow of urine.
SAROTHAMNUS SCOPARIUS,Dose,"For non-homeopathic use (palliative as above), one to two grains t.i.d by mouth, exerts a definite action upon the kidneys that will enable them to relieve the distress upon the heart. It is a safe drug and prompt in its action. Hypodermically, not less than 1/4 of a grain. Doses as high as 2 grains by mouth three times a day are safe (Hinsdale)."
SARCOLACTICUM ACIDUM,General Symptoms,"Tired feeling with muscular prostration, worse any exertion. Sore feeling all over, worse in afternoon. Restless at night. Difficulty in getting to sleep. Tired feeling in morning on getting up."
SARCOLACTICUM ACIDUM,Throat,Constriction in pharynx. Sore throat with tightness in naso-pharynx. Tickling in throat.
SARCOLACTICUM ACIDUM,Stomach,Nausea. Uncontrollable vomiting even of water followed by extreme weakness.
SARCOLACTICUM ACIDUM,Back and Extremities,Tired feeling in back and neck and shoulders. Paralytic weakness. Wrist tires easily from writing. Extreme weakness from climbing stairs. Stiffness of thigh and calves. Arms feel as if no strength in them. Cramp in the calves.
SARCOLACTICUM ACIDUM,Dose,Sixth to 30th potency. The 15x most marked action (Griggs).
SARRACENIA PURPUREA,Eyes,Photophobia. Eyes feel swollen and sore. Pain in orbits. Black objects move with the eye.
SARRACENIA PURPUREA,Stomach,"Hungry all the time, even after a meal. Sleepy during meals. Copious, painful vomiting."
SARRACENIA PURPUREA,Back,Pains shooting in zig-zag course from lumbar region to middle of scapula.
SARRACENIA PURPUREA,Extremities,Limbs weak; bruised pain in knees and hip-joints. Bones in arm pain. Weak between shoulders.
SARRACENIA PURPUREA,Skin,"Variola, aborts the disease, arrests pustulation."
SARRACENIA PURPUREA,Relationship,Compare: Tartar em; Variol; Maland.
SARRACENIA PURPUREA,Dose,Third to sixth potency.
SANTONINUM,Head,"Occipital headache, with chromatic hallucinations. Itching of nose. Bores into nostrils."
SANTONINUM,Eyes,Sudden dimness of sight. Color blindness; Xanthopsia. Strabismus due to worms. Dark rings about eyes.
SANTONINUM,Mouth,"Fetid breath, depraved appetite; thirsty. Tongue deep-red. Grinding of teeth. Nausea; better after eating. Choking feeling."
SANTONINUM,Urinary,Urine greenish if acid and reddish purple if alkaline. Incontinence and dysuria. Enuresis. Feeling of fullness of bladder. Nephritis.
SANTONINUM,Relationship,Compare: Cina; Teucr; Napth; Nat phos; Spigel.
SANTONINUM,Dose,Second to third trituration. Lower preparations are often toxic. Do not give to a child with fever or constipation.
SARSAPARILLA OFFICINALIS,Mind,"Despondent, sensitive, easily offended, ill humored and taciturn."
SARSAPARILLA OFFICINALIS,Head,Pains cause depression. Shooting pain from above right temporal region. Pains from occiput to eyes. Words reverberate in ear to the root of nose. Periosteal pains due to venereal disease. Influenza. Scalp sensitive. Eruptions on face and upper lip. Moist eruption on scalp. Crusta lactea beginning in face.
SARSAPARILLA OFFICINALIS,Mouth,Tongue white; aphthae; salivation; metallic taste; no thirst. Fetid breath.
SARSAPARILLA OFFICINALIS,Abdomen,Rumbling and fermentation. Colic and backache at same time. Much flatus; cholera infantum.
SARSAPARILLA OFFICINALIS,Urinary,"Urine scanty, slimy, flaky, sandy, bloody. Gravel. Renal colic. Severe pain at conclusion of urination. Urine dribbles while sitting. Bladder distended and tender. Child screams before and while passing urine. Sand on diaper. Renal colic and dysuria in infants. Pain from right kidney downward. Tenesmus of bladder; urine passes in thin, feeble stream. Pain at meatus."
SARSAPARILLA OFFICINALIS,Male,"Bloody, seminal emissions. Intolerable stench on genitals. Herpetic eruption on genitals. Itching on scrotum and perineum. Syphilis; squamous eruption and bone pains."
SARSAPARILLA OFFICINALIS,Female,"Nipples small, withered, retracted. Before menstruation, itching and humid eruption of forehead. Menses late and scanty. Moist eruption in right groin before menses."
SARSAPARILLA OFFICINALIS,Skin,"Emaciated, shriveled, lies in folds (Abrot; Sanic), dry, flabby. Herpetic eruptions; ulcers. Rash from exposure to open air; dry, itching; comes on in spring; becomes crusty. Rhagades; skin cracked on hands and feet. Skin hard, indurated. Summer cutaneous affections."
SARSAPARILLA OFFICINALIS,Extremities,"Paralytic, tearing pains. Trembling of hands and feet. Burning on sides of fingers and toes. Onychia, ulceration around ends of fingers, cutting sensation under nails. Rheumatism, bone pains; worse at night. Deep rhagades on fingers and toes; burn under nails. Tetter on hands; ulceration around ends of fingers (Psorin). Cutting sensation under nails (Petrol). Rheumatic pains after gonorrhoea."
SARSAPARILLA OFFICINALIS,Modalities,"Worse, dampness at night, after urinating, when yawning, in spring, before menses."
SARSAPARILLA OFFICINALIS,Relationship,Complementary: Merc; Sep.
SARSAPARILLA OFFICINALIS,Dose,First to sixth potency.
SAPONARIA OFFICINALIS,Mind,"Utter indifference to pain or possible death. Apathetic, depressed, with sleepiness."
SAPONARIA OFFICINALIS,Head,"Stitching pain, supraorbital; worse, left side, evening, motion. Throbbing over orbits. Congestions to head; tired feeling in nape. Coryza. Sensation of drunkenness with constant endeavor to go left-wards. Left-sided trigeminal neuralgia, especially supraorbital. Stopped up feeling in nose, also itching and sneezing."
SAPONARIA OFFICINALIS,Eyes,"Violent eye pains. Hot stitches deep in eyeball. Ciliary neuralgia; worse, left side. Photophobia. Exophthalmos, worse reading and writing. Increased intraocular pressure. Glaucoma."
SAPONARIA OFFICINALIS,Stomach,"Difficult swallowing. Nausea, heartburn; full feeling not relieved by eructation."
SAPONARIA OFFICINALIS,Heart,Impulse weak; pulse less frequent. Palpitation with anxiety.
SAPONARIA OFFICINALIS,Modalities,"Worse, at night, mental exertion, left side."
SAPONARIA OFFICINALIS,Relationship,"Compare: Saponin-a glucosidal principle found in Quillaya, Yucca, Senega, Dioscorea and other plants (Tired, indifferent. Pain in left temple, eye, photophobia, hot stitches deep in eye. Fifth nerve affections. Migraine. Much pain before the menstrual flow; severe sore throat, worse right side; tonsils swollen, worse in warm room. Sharp burning taste and violent sneezing)."
SANICULA AQUA,Head,"Dread of downward motion (Borax). Profuse sweat on occiput and in nape of neck, during sleep (Calc; Sil). Photophobia. Lachrymation in cold air or from cold application. Profuse scaly dandruff. Soreness behind ears."
SANICULA AQUA,Throat,"Thick, ropy, tenacious mucus."
SANICULA AQUA,Mouth,"Tongue large, flabby, burning; must protrude it to keep cool. Ringworm on tongue."
SANICULA AQUA,Stomach,Nausea and vomiting from car-riding. Thirst; drink little and often (Ars; Chin). Is vomited as soon as it reaches the stomach.
SANICULA AQUA,Rectum,"Stools large, heavy and painful. Pain in whole perineum. No desire until a large accumulation. After great straining only partially expelled; recedes, crumbles at verge of anus (Mag mur). Very offensive odor. Excoriation of skin about anus, perineum, and genitals. Diarrhoea; changeable in character and color; after eating."
SANICULA AQUA,Female,"Bearing-down, as if contents of pelvis would escape; better, rest. Desire to support parts. Soreness of uterus. Leucorrhoea with odor of fish-brine or cold cheese (Hepar). Vagina feels large."
SANICULA AQUA,Back,Dislocated feeling in sacrum and better lying on right side.
SANICULA AQUA,Extremities,"Burning of soles of feet (Sulph; Lach). Offensive foot-sweat (Sil; Psor). Cold, clammy sweat of extremities."
SANICULA AQUA,Skin,"Dirty, greasy, brownish, wrinkled. Eczema, fissured hands and fingers (Petrol; Graph)."
SANICULA AQUA,Modalities,"Worse, moving arms backward."
SANICULA AQUA,Relationship,"Compare: Abrot; Alum; Calc; Sil; Sulph. Sanicula Aqua must not be confounded with the Sanicle (pool-root or wood marsh), also called Sanicula. This is used in various nervous affections, resembling Valeriana. It is used as a vulnerary, resolvent for sanguineous extravasations, and as an astringent (Has not been proved)."
SANICULA AQUA,Dose,Thirtieth potency.
SANGUINARINUM NITRICUM,Nose,"Feels obstructed. Profuse, watery mucus, with burning pain. Enlarged turbinates at beginning of hypertrophic process. Secretion scant, tendency to dryness. Small crusts which bleed when removed. Post-nasal secretions adherent to nasopharynx, dislodged with difficulty. Dry and burning nostrils; watery mucus, with pressure over root of nose. Nostrils plugged with thick, yellow, bloody mucus. Sneezing. Rawness and soreness in posterior nares."
SANGUINARINUM NITRICUM,Throat,"Rough, dry, constricted, burning. Right tonsil sore, swallowing difficult."
SANGUINARINUM NITRICUM,Mouth,Ulceration on the side of the tongue.
SANGUINARINUM NITRICUM,Respiratory,"Short, hacking cough, with expectoration of thick, yellow, sweetish mucus. Pressure behind center of sternum. Dryness and burning in throat and bronchi. Tickling cough. Chronic nasal, laryngeal, and bronchial catarrh. Voice altered, deep, hoarse."
SANGUINARINUM NITRICUM,Relationship,Compare: Sanguin tartaricum (exophthalmos; mydriasis; dim vision); Arum triph; Psorin; Kal bich.
SANGUINARINUM NITRICUM,Dose,Third trituration.
SAMBUCUS NIGRA,Mind,Sees images when shutting eyes. Constant fretfulness. Very easily frightened. Fright followed by suffocative attacks.
SAMBUCUS NIGRA,Face,"Turns blue with cough. Red, burning spots on cheeks. Heat and perspiration of face."
SAMBUCUS NIGRA,Abdomen,"Colic, with nausea and flatulence; frequent watery, slimy stools."
SAMBUCUS NIGRA,Urine,"Profuse urine with dry heat of skin. Frequent micturition, with scanty urine. Acute nephritis; dropsical symptoms, with vomiting."
SAMBUCUS NIGRA,Respiratory,"Chest oppressed with pressure in stomach, and nausea Hoarseness with tenacious mucus in larynx. Paroxysmal, suffocative cough, coming on about midnight, with crying and dyspnoea. Spasmodic croup. Dry coryza. Sniffles of infants; nose dry and obstructed. Loose choking cough. When nursing child must let go of nipple, nose blocked up, cannot breathe. Child awakes suddenly, nearly suffocating, sits up, turns blue. Cannot expire (Meph). Millar's asthma."
SAMBUCUS NIGRA,Extremities,"Hands turn blue. Å’dematous swelling in legs, insteps, and feet. Feet icy cold. Debilitating night-sweats (Salvia; Acet ac)."
SAMBUCUS NIGRA,Fever,"Dry heat while sleeping. Dreads uncovering. Profuse sweat over entire body during waking hours. Dry, deep cough precedes the fever paroxysm."
SAMBUCUS NIGRA,Skin,Dry heat of skin during sleep. Bloated and swollen; general dropsy; profuse sweat on waking.
SAMBUCUS NIGRA,Modalities,"Worse, sleep, during rest, after eating fruit. Better, sitting up in bed, motion."
SAMBUCUS NIGRA,Relationship,"Compare: Ipec; Meph; Opium; Sambucus Canadensis (great value in dropsies; large doses required-fluid extract, 1/4 to 1 teaspoonful three times daily)."
SAMBUCUS NIGRA,Dose,"Tincture, to sixth potency."
SALICYLICUM ACIDUM,Head,Vertigo; tendency to fall to left side. Headache; confusion in head on rising suddenly. Incipient coryza. Piercing pain in temples.
SALICYLICUM ACIDUM,Eyes,"Retinal haemorrhage. Retinitis after influenza, also albuminuric."
SALICYLICUM ACIDUM,Ears,"Roaring and ringing in ears. Deafness, with vertigo."
SALICYLICUM ACIDUM,Throat,"Sore, red and swollen. Pharyngitis; swallowing difficult."
SALICYLICUM ACIDUM,Stomach,"Canker sores, with burning soreness and fetid breath. Flatulence; hot, sour belching. Putrid fermentation. Fermentative dyspepsia. Tongue purplish, leaden-colored; foul breath."
SALICYLICUM ACIDUM,Stools,"Putrid diarrhoea; gastro-intestinal derangements, especially in children; stools like green frog's spawn (Magn carb). Pruritus ani."
SALICYLICUM ACIDUM,Extremities,"Knees swollen and painful. Acute articular rheumatism; worse, touch and motion, profuse sweat. Pain shifts. Sciatica, burning pain; worse at night. Copious foot-sweat and ill affects where suppressed."
SALICYLICUM ACIDUM,Skin,Itching vesicles and pustules; better by scratching. Sweat without sleep. Urticaria. Hot and burning skin. Purpura. Herpes zoster. Necrosis and softening of bones.
SALICYLICUM ACIDUM,Relationship,"Compare: Salol (rheumatic pain in joints, with soreness and stiffness, headache over eyes; urine violet-smelling); Colch; China; Lact ac. Spiraea and Gaultheria contain salicyl acid."
SALICYLICUM ACIDUM,Dose,"Third decimal trituration. In acute articular rheumatism, 5 grains every 3 hours (Old school dose)."
SANGUINARIA CANADENSIS,Head,"Worse right side, sun headache. Periodical sick headache; pain begins in occiput, spreads upwards, and settles over eyes, especially right. Veins and temples are distended. Pain better lying down and sleep. Headaches return at climacteric; every seventh day (Sulph; Sabad). Pain in small spot over upper left parietal bone. Burning in eyes. Pain in the back of head ""like a flash of lightning""."
SANGUINARIA CANADENSIS,Face,Flushed. Neuralgia; pain extends in all directions from upper jaw. Redness and burning of cheeks. Hectic flush. Fullness and tenderness behind angle of jaws.
SANGUINARIA CANADENSIS,Nose,"Hay-fever. Ozaena, with profuse, offensive yellowish discharges. Nasal polypi. Coryza, followed by diarrhoea. Chronic rhinitis; membrane dry and congested."
SANGUINARIA CANADENSIS,Ears,Burning in ears. Earache with headache. Humming and roaring. Aural polypus.
SANGUINARIA CANADENSIS,Throat,"Swollen; worse, right side. Dry and constricted. Ulceration of mouth and fauces, with dry, burning sensation Tongue white; feels scalded. Tonsillitis."
SANGUINARIA CANADENSIS,Stomach,"Aversion to butter. Craving for piquant things. Unquenchable thirst. Burning, vomiting. Nausea, with salivation. Sinking, faint all-gone feeling (Phos; Sep). Spitting up of bile; gastro-duodenal catarrh."
SANGUINARIA CANADENSIS,Abdomen,"Diarrhoea as coryza improves. Pain over region of liver. Diarrhoea; bilious, liquid, gushing stool (Nat sulph; Lycop). Cancer of rectum."
SANGUINARIA CANADENSIS,Female,"Leucorrhoea fetid, corrosive. Menses offensive, profuse. Soreness of breasts. Uterine polypi. Before, menses, itching of axillae. Climacteric disorders."
